이름,국가,키(cm),개인기,골결,드리블,중거리,크로스,패스,헤더,몸싸움,가속도,주력,점프거리,균형감각,일대일 마크,태클,수비위치선정,예측력
Mohammed Elamine AMOURA,Algeria,170,14,14,14,12,10,12,15,9,18,17,12,12,6,7,6,13
Nabil BENTALEB,Algeria,187,15,10,13,13,11,15,8,12,12,11,14,15,13,15,14,13
Adil BOULBINA,Algeria,183,13,12,14,13,12,11,7,8,15,14,9,12,5,6,6,12
Amir Selmane Rami BENSEBAINI,Algeria,187,14,10,12,10,12,13,16,14,13,14,15,15,13,15,13,13
Ibrahim MAZA,Algeria,180,16,10,16,13,11,13,8,8,13,14,8,12,7,11,8,11
Luca Zinedine ZIDANE,Algeria,183,14,7,7,2,8,15,8,12,15,14,12,11,1,5,12,11
Yassine M E G TITRAOUI,Algeria,180,14,9,12,9,11,13,7,10,12,12,8,13,10,11,12,13
Fares GHEDJEMIS,Algeria,183,13,10,14,9,12,12,10,10,13,13,11,12,4,5,8,12
Samir Sophian CHERGUI,Algeria,185,12,9,12,10,13,14,13,13,13,12,12,12,13,12,13,14
Juan Agustín MUSSO,Argentina,193,7,3,1,2,1,8,5,12,13,12,14,14,1,2,15,12
Marcos Nicolás SENESI BARON,Argentina,185,14,8,10,7,10,15,15,12,14,12,15,14,15,14,14,14
Nicolás Alejandro TAGLIAFICO,Argentina,170,12,7,11,9,12,13,15,13,11,11,13,14,15,16,14,14
Gonzalo Ariel MONTIEL,Argentina,175,10,6,8,5,13,12,12,13,14,14,9,14,13,14,14,14
Leandro Daniel PAREDES,Argentina,182,16,12,12,14,13,16,8,11,12,10,9,12,10,15,15,14
Lisandro MARTÍNEZ,Argentina,175,15,7,9,6,9,15,13,15,12,12,12,14,16,16,16,16
Rodrigo Javier DE PAUL,Argentina,180,15,14,16,15,15,16,8,13,15,14,9,14,10,12,10,15
Valentin BARCO,Argentina,170,15,8,15,13,15,13,3,6,13,13,7,13,10,12,12,11
Julián ÁLVAREZ,Argentina,170,15,16,15,16,13,15,11,12,16,14,7,13,7,9,8,16
Lionel Andrés MESSI,Argentina,170,20,17,20,16,16,19,10,9,13,10,6,18,4,7,5,17
Giovani LO CELSO,Argentina,177,17,12,15,13,12,17,10,11,13,12,8,15,9,11,12,13
Geronimo RULLI,Argentina,189,13,3,3,1,1,13,5,12,11,10,14,9,2,2,13,13
Cristian Gabriel ROMERO,Argentina,185,14,8,9,5,6,14,15,15,14,14,14,14,14,18,16,18
Exequiel Alejandro PALACIOS,Argentina,177,16,10,13,12,10,17,8,13,12,13,8,14,12,16,14,16
Nicolas Ivan GONZALEZ,Argentina,180,15,15,15,14,14,14,16,11,15,16,14,13,5,7,6,13
Thiago Ezequiel ALMADA,Argentina,170,16,12,16,14,12,15,4,8,14,13,5,15,7,7,8,14
Giuliano SIMEONE,Argentina,173,12,14,12,10,12,12,10,13,15,16,10,13,9,12,7,13
Nicolas PAZ MARTÍNEZ,Argentina,185,17,13,17,14,12,16,7,9,14,13,8,12,5,9,6,14
Nicolas Hernan Gonzalo OTAMENDI,Argentina,183,12,10,11,6,9,13,17,15,8,8,14,16,18,16,13,18
Alexis MAC ALLISTER,Argentina,176,16,12,13,13,13,16,9,12,13,12,8,14,10,14,14,17
Jose Manuel Alberto LOPEZ,Argentina,190,13,14,12,9,11,12,15,13,12,12,16,14,8,9,8,13
Lautaro Javier MARTÍNEZ,Argentina,174,16,17,14,15,8,12,16,13,15,15,11,14,5,8,7,15
Damián Emiliano MARTÍNEZ,Argentina,195,11,1,3,3,2,12,5,12,10,10,15,13,1,3,12,15
Enzo Jeremías FERNÁNDEZ,Argentina,178,16,14,13,16,13,17,12,13,12,12,10,16,10,14,10,14
Facundo Axel MEDINA,Argentina,184,14,11,13,8,14,14,13,14,13,14,14,14,14,13,14,13
Nahuel MOLINA LUCERO,Argentina,175,14,11,13,12,14,14,8,12,15,15,8,12,12,13,12,13
Mathew David RYAN,Australia,184,13,2,2,3,1,12,6,12,9,10,12,10,3,2,15,13
Milos DEGENEK,Australia,187,9,5,5,5,8,10,14,13,11,11,14,13,14,13,13,14
Alessandro CIRCATI,Australia,190,10,7,9,8,9,12,15,14,13,13,14,13,14,14,14,14
Jacob Michael ITALIANO,Australia,177,13,8,13,10,10,12,6,7,13,14,9,8,9,10,9,9
Jordan Jacob BOS,Australia,183,11,10,12,11,13,11,11,12,13,13,10,13,12,13,12,11
Jason Kato GERIA,Australia,184,9,4,11,3,10,10,11,14,15,14,12,13,11,13,14,13
Mathew Allan LECKIE,Australia,181,11,11,13,11,10,10,15,13,13,17,14,14,6,8,7,9
Connor Isaac METCALFE,Australia,183,13,10,12,11,11,13,7,11,12,14,9,11,9,11,10,11
Mohamed A TOURE,Australia,186,12,11,12,10,10,10,10,13,16,16,13,11,4,4,3,11
Ajdin HRUSTIC,Australia,180,14,8,14,14,10,13,10,11,11,11,12,12,7,6,8,11
Awer Bul MABIL,Australia,178,13,10,13,10,11,11,6,7,17,16,8,13,4,4,6,11
Paul David IZZO,Australia,185,9,3,3,2,3,10,3,12,9,9,12,12,2,2,13,11
Aiden Connor O'NEILL,Australia,178,13,11,10,9,11,12,10,12,11,12,11,12,11,12,12,13
Cameron Peter DEVLIN,Australia,171,10,6,7,8,6,11,8,11,12,12,8,11,12,15,13,15
Kai Clifton TREWIN,Australia,183,8,7,9,7,8,11,10,10,11,10,10,11,12,14,10,12
Aziz BEHICH,Australia,170,12,7,13,6,13,11,5,11,14,12,7,11,9,10,8,12
Nestory IRANKUNDA,Australia,175,11,8,13,13,9,8,7,11,17,18,8,12,3,4,3,8
Patrick Thomas BEACH,Australia,190,11,9,14,9,14,13,9,11,12,13,9,10,14,15,13,12
Harry James SOUTTAR,Australia,198,10,5,7,4,3,12,16,15,7,10,20,13,14,14,12,12
Cristian VOLPATO,Australia,187,15,13,14,13,12,15,7,11,13,13,10,13,4,4,4,13
Cameron Robert BURGESS,Australia,194,12,6,8,6,5,12,16,15,8,11,16,11,13,14,15,14
Jackson Alexander IRVINE,Australia,189,11,10,11,10,8,12,16,13,11,12,16,14,12,13,12,15
Nishan Matthew VELUPILLAY,Australia,181,10,13,13,12,15,9,5,7,12,14,9,9,4,4,10,11
Paul Michael Junior OKON-ENGSTLER,Australia,186,13,7,10,6,10,12,10,11,12,12,10,11,11,12,13,11
Lucas HERRINGTON,Australia,192,10,6,9,5,7,10,11,11,11,12,14,10,11,12,10,16
Tete Owen YENGI,Australia,197,11,10,8,8,6,9,12,13,9,11,17,13,8,8,8,13
Alexander SCHLAGER,Austria,188,5,2,6,8,4,8,7,13,12,10,13,14,6,3,13,10
David Leopold AFFENGRUBER,Austria,185,13,5,8,8,6,12,14,14,12,14,14,15,14,13,16,13
Kevin DANSO,Austria,190,10,10,8,7,7,13,15,15,14,16,17,14,14,13,15,14
Xaver SCHLAGER,Austria,174,13,8,12,12,8,15,8,15,12,13,9,15,13,16,14,15
Stefan POSCH,Austria,190,13,9,12,10,12,14,14,15,12,14,14,17,13,15,14,14
Nicolas SEIWALD,Austria,180,12,7,11,12,11,13,11,13,12,14,12,13,12,16,13,16
Marko ARNAUTOVIC,Austria,192,16,14,14,14,11,15,14,17,11,12,14,16,5,7,7,9
David ALABA,Austria,180,15,10,12,14,12,16,13,13,14,14,11,14,14,13,15,14
Marcel SABITZER,Austria,178,13,11,12,16,12,14,10,12,12,13,10,12,12,12,12,13
Florian GRILLITSCH,Austria,187,15,7,13,11,10,15,12,12,11,13,13,15,12,13,14,16
Michael GREGORITSCH,Austria,193,12,13,11,12,9,12,15,15,10,12,16,16,7,8,8,14
Florian WIEGELE,Austria,205,4,1,2,9,2,5,8,16,8,12,18,15,3,5,13,11
Patrick PENTZ,Austria,183,9,4,6,6,4,11,5,11,9,10,11,11,5,8,15,12
Saša KALAJDŽIĆ,Austria,200,14,13,12,9,8,14,17,15,10,10,19,16,7,7,7,13
Philipp LIENHART,Austria,189,12,6,11,6,8,13,16,14,12,14,16,15,14,13,15,15
Phillip MWENE,Austria,170,12,7,12,10,13,10,7,10,15,14,6,12,10,12,10,11
Carney Chibueze CHUKWUEMEKA,Austria,187,17,10,15,12,9,13,11,12,15,14,13,12,9,11,10,12
Romano SCHMID,Austria,168,16,8,15,11,12,14,10,10,14,14,7,12,9,10,9,13
Dejan LJUBIČIĆ,Austria,187,13,10,13,12,12,13,12,12,13,15,13,12,12,12,12,11
Konrad LAIMER,Austria,180,12,8,12,12,11,13,8,13,14,15,10,12,12,17,12,13
Patrick WIMMER,Austria,182,13,10,15,11,11,12,10,11,15,15,12,11,8,11,8,11
Alexander PRASS,Austria,180,11,8,13,11,12,12,8,12,14,14,9,12,10,12,10,11
Marco FRIEDL,Austria,187,13,7,11,7,12,13,13,14,12,14,14,14,13,16,13,14
Paul WANNER,Austria,185,16,10,15,12,10,13,9,8,13,13,12,12,7,9,7,10
Michael SVOBODA,Austria,195,9,6,10,4,3,11,15,15,12,13,15,14,14,14,13,13
Alessandro Andre SCHÖPF,Austria,178,13,8,13,12,12,13,8,9,12,12,8,11,9,10,9,13
Thibaut Nicolas M COURTOIS,Belgium,200,12,1,10,1,2,13,10,14,12,11,18,14,2,3,16,15
Zeno Koen DEBAST,Belgium,191,14,7,10,12,12,16,14,12,14,15,17,11,14,12,13,12
Arthur Nicolas R THEATE,Belgium,185,13,7,12,13,11,15,15,15,13,13,15,15,14,14,14,16
Brandon Erik MECHELE,Belgium,190,10,8,7,11,7,10,13,12,10,11,15,13,15,14,14,12
Maxim Peter M DE CUYPER,Belgium,182,14,11,11,12,14,14,11,10,14,14,12,11,11,14,11,11
Axel Laurent A WITSEL,Belgium,186,15,9,13,11,9,15,13,14,9,9,14,16,13,13,12,18
Kevin DE BRUYNE,Belgium,181,18,16,15,17,19,19,6,13,12,12,10,14,9,9,10,14
Youri Marion A TIELEMANS,Belgium,176,17,12,13,14,13,18,10,10,12,12,8,12,11,12,13,15
Romelu LUKAKU BOLINGOLI,Belgium,191,13,16,13,14,10,13,15,20,15,15,16,20,5,9,7,15
Leandro TROSSARD,Belgium,172,16,14,15,13,12,14,6,9,16,14,6,13,6,4,9,14
Jeremy Baffour DOKU,Belgium,173,15,11,17,8,12,14,5,13,18,16,8,13,5,7,8,11
Senne LAMMENS,Belgium,193,12,2,2,1,2,14,12,11,11,11,14,10,7,13,13,13
Mike Louis PENDERS,Belgium,200,11,2,2,3,3,13,12,11,9,10,12,12,1,3,12,12
Dodi LUKEBAKIO NGANDOLI,Belgium,187,15,14,18,14,14,12,10,15,16,16,13,12,2,3,6,13
Thomas Andre A MEUNIER,Belgium,191,12,9,11,10,14,12,12,16,12,13,14,15,10,13,11,13
Koni DE WINTER,Belgium,191,11,8,13,9,12,12,15,14,13,14,15,14,15,14,14,14
Charles Marc S DE KETELAERE,Belgium,193,16,14,15,13,13,15,14,14,13,14,15,15,5,10,10,14
Joaquin Ronny SEYS,Belgium,178,11,11,10,7,11,12,10,11,12,13,10,13,12,13,11,12
Diego Manuel J DA SILVA MOREIRA,Belgium,179,14,10,15,9,12,12,5,10,16,17,7,10,8,7,7,10
Hans VANAKEN,Belgium,195,13,14,10,13,11,14,15,13,9,11,13,12,8,8,13,14
Timothy CASTAGNE,Belgium,185,13,10,12,8,14,13,9,11,14,14,13,13,11,12,12,12
Alexis Jesse M SAELEMAEKERS,Belgium,180,15,11,14,13,14,15,9,8,14,14,10,13,9,13,11,13
Nicolas Thierry Y RASKIN,Belgium,179,14,9,14,11,12,14,6,13,14,13,9,12,11,15,8,15
Amadou Ba Z MVOM ONANA,Belgium,195,14,10,14,10,9,14,16,15,13,17,16,15,12,15,14,12
Nathan NGOY,Belgium,183,14,11,12,12,4,13,14,16,13,14,11,13,14,12,13,14
Matias FERNANDEZ-PARDO,Belgium,183,13,15,14,12,11,12,8,11,17,18,7,12,7,5,4,14
Nikola VASILJ,Bosnia And Herzegovina,193,9,2,2,2,3,11,6,14,8,9,16,12,1,2,14,13
Nihad MUJAKIĆ,Bosnia And Herzegovina,189,9,5,9,7,8,10,13,14,11,15,14,11,14,14,12,12
Dennis HADŽIKADUNIĆ,Bosnia And Herzegovina,190,11,6,10,6,6,12,13,14,11,13,16,13,14,13,13,13
Tarik MUHAREMOVIĆ,Bosnia And Herzegovina,192,8,6,6,4,4,11,15,13,12,12,15,13,14,14,14,14
Sead KOLAŠINAC,Bosnia And Herzegovina,183,11,7,11,8,11,12,16,18,12,14,13,16,14,16,14,16
Benjamin TAHIROVIC,Bosnia And Herzegovina,191,15,9,12,12,10,15,9,13,10,13,15,14,7,10,10,11
Amar DEDIĆ,Bosnia And Herzegovina,180,15,11,16,9,11,13,10,11,15,16,10,12,11,13,10,13
Armin GIGOVIĆ,Bosnia And Herzegovina,187,14,11,13,14,11,13,11,12,13,12,12,12,10,11,10,13
Samed BAŽDAR,Bosnia And Herzegovina,186,14,12,12,11,11,12,12,13,12,12,15,13,6,7,7,12
Ermedin DEMIROVIĆ,Bosnia And Herzegovina,185,13,15,13,11,9,11,14,14,13,14,14,13,8,9,8,13
Edin DŽEKO,Bosnia And Herzegovina,193,15,14,13,10,11,14,15,15,5,9,15,12,10,6,12,17
Mladen JURKAS,Bosnia And Herzegovina,193,5,1,2,2,2,5,2,12,6,7,11,6,2,3,15,12
Ivan BAŠIĆ,Bosnia And Herzegovina,178,14,9,13,14,11,13,11,10,13,13,9,13,8,11,10,12
Ivan ŠUNJIĆ,Bosnia And Herzegovina,184,10,7,8,11,7,11,8,12,11,12,10,12,13,14,13,11
Amar MEMIĆ,Bosnia And Herzegovina,176,13,12,14,13,13,12,7,7,14,14,8,12,8,8,9,12
Amir HADŽIAHMETOVIĆ,Bosnia And Herzegovina,179,14,7,13,8,14,14,8,11,11,8,9,14,9,11,14,14
Dženis BURNIĆ,Bosnia And Herzegovina,181,13,8,12,11,11,12,8,11,13,13,11,12,10,12,11,12
Nikola KATIĆ,Bosnia And Herzegovina,194,8,6,7,6,5,9,16,17,9,11,17,16,13,15,14,15
Kerim ALAJBEGOVIĆ,Bosnia And Herzegovina,186,14,10,13,14,12,12,6,7,13,13,10,11,6,6,6,10
Esmir BAJRAKTAREVIĆ,Bosnia And Herzegovina,175,14,11,16,10,12,12,8,9,14,14,7,13,8,7,9,10
Stjepan RADELJIĆ,Bosnia And Herzegovina,201,11,5,11,7,7,12,14,18,8,10,19,13,12,13,14,14
Martin ZLOMISLIĆ,Bosnia And Herzegovina,189,8,3,2,2,2,13,5,13,10,10,13,9,1,3,13,11
Haris TABAKOVIĆ,Bosnia And Herzegovina,196,11,15,10,10,7,11,15,16,11,13,17,16,6,6,6,14
Arjan MALIĆ,Bosnia And Herzegovina,186,11,10,9,9,6,9,9,13,12,14,13,12,10,10,14,11
Jovo LUKIĆ,Bosnia And Herzegovina,193,10,11,9,10,8,11,13,17,10,12,14,16,8,9,7,13
Ermin MAHMIĆ,Bosnia And Herzegovina,182,9,8,7,7,7,11,14,13,11,11,13,11,12,12,11,10
Álisson Ramsés BECKER,Brazil,193,13,1,10,1,1,14,7,15,13,13,14,16,2,3,18,17
Éderson José DOS SANTOS LOURENÇO DA SILVA,Brazil,183,15,12,13,12,11,15,15,15,13,14,14,15,12,15,15,17
Gabriel DOS SANTOS MAGALHÃES,Brazil,190,13,7,10,6,7,13,19,19,13,15,17,14,16,18,15,15
Marcos AOAS CORREA,Brazil,183,13,8,10,10,11,13,16,15,13,14,16,16,16,16,16,17
Carlos Henrique CASIMIRO,Brazil,185,14,11,10,14,11,14,17,17,9,10,15,15,14,17,14,17
Alex Sandro LOBO SILVA,Brazil,180,14,9,13,10,14,14,14,12,10,13,12,13,13,15,16,15
Vinicius José PAIXÃO DE OLIVEIRA JÚNIOR,Brazil,176,16,16,19,12,13,15,12,12,19,18,8,17,3,6,9,16
Bruno GUIMARÃES RODRIGUEZ MOURA,Brazil,181,18,12,16,11,12,18,10,14,13,11,12,16,13,14,16,16
Matheus SANTOS CARNEIRO DA CUNHA,Brazil,183,16,15,17,15,13,14,11,12,15,15,12,15,4,6,5,11
Neymar DA SILVA SANTOS JÚNIOR,Brazil,175,19,15,19,15,15,16,8,10,11,11,7,12,4,5,4,16
Raphael DIAS BELLOLI,Brazil,176,15,15,15,14,15,15,10,11,16,15,8,15,8,11,8,15
Weverton PEREIRA DA SILVA,Brazil,189,10,2,3,1,1,12,3,16,10,9,15,13,1,3,16,13
Danilo Luiz DA SILVA,Brazil,184,13,8,11,11,13,13,13,12,11,12,12,12,14,14,16,15
Gleison Bremer SILVA NASCIMENTO,Brazil,188,12,12,9,7,6,13,17,16,14,15,16,15,17,16,15,17
Leonardo PEREIRA,Brazil,189,13,8,11,10,7,14,15,13,13,13,15,14,15,15,14,13
Douglas DOS SANTOS JUSTINO DE MELO,Brazil,175,14,11,13,14,14,14,8,9,14,13,9,13,12,13,13,14
Fabio Henrique TAVARES,Brazil,188,15,9,11,12,11,16,15,16,9,12,15,11,13,15,16,16
Danilo DOS SANTOS DE OLIVEIRA,Brazil,176,14,9,13,11,11,14,11,11,14,12,8,13,13,13,13,15
Endrick Felipe MOREIRA DE SOUSA PESSOA,Brazil,173,15,15,14,13,10,13,11,15,16,15,7,14,6,6,6,13
Lucas TOLENTINO COELHO DE LIMA,Brazil,183,17,12,15,12,11,13,12,13,13,13,11,14,10,12,10,13
Luiz Henrique André ROSA DA SILVA,Brazil,182,16,10,17,13,11,13,11,12,16,15,12,13,7,11,11,13
Gabriel TEODORO MARTINELLI SILVA,Brazil,178,15,14,16,9,11,12,11,11,17,16,11,14,5,5,7,13
Ederson SANTANA DE MORAES,Brazil,188,14,3,11,12,3,16,9,13,8,10,13,11,1,1,16,17
Roger IBAÑEZ DA SILVA,Brazil,186,13,9,11,9,8,14,17,12,15,14,14,11,14,17,15,15
Igor Thiago NASCIMENTO RODRIGUES,Brazil,191,12,14,12,11,10,12,16,16,13,13,16,13,7,8,8,14
Rayan Vitor SIMPLICIO ROCHA,Brazil,187,13,14,13,13,11,11,11,15,15,14,13,14,7,7,7,11
Josimar José ÉVORA DIAS,Cabo Verde,189,10,1,1,1,2,9,7,12,9,10,15,10,1,2,13,12
Ianique DOS SANTOS TAVARES,Cabo Verde,180,11,10,10,5,9,11,13,12,8,9,16,10,13,12,12,11
Edilson Alberto MONTEIRO SANCHES BORGES,Cabo Verde,185,12,5,9,6,5,12,13,13,11,12,12,11,12,13,12,11
Roberto Carlos LOPES,Cabo Verde,186,9,5,7,5,4,12,13,15,11,10,13,11,12,12,12,12
Logan Evans COSTA,Cabo Verde,190,11,6,9,8,10,12,16,16,12,13,15,13,16,14,16,13
Kevin Lenini GONÇALVES PEREIRA DE PINA,Cabo Verde,181,13,8,12,13,8,13,11,10,13,13,10,12,13,13,13,12
Jovane Eduardo BORGES CABRAL,Cabo Verde,174,14,11,13,13,12,8,7,12,15,14,5,13,7,13,8,11
João Paulo MOREIRA FERNANDES,Cabo Verde,180,13,8,13,10,10,11,7,13,13,13,10,12,10,12,8,11
Gilson BENCHIMOL TAVARES,Cabo Verde,187,11,13,12,6,8,8,11,10,15,15,14,10,4,6,5,12
Jamiro Gregory MONTEIRO ALVARENGA,Cabo Verde,170,13,10,13,11,9,14,11,8,13,11,8,12,6,9,9,12
Garry MENDES RODRIGUES,Cabo Verde,172,13,11,13,11,12,12,8,8,15,14,8,12,6,7,5,12
Márcio Salomão BRAZÃO DA ROSA,Cabo Verde,187,14,8,12,8,11,13,10,8,13,12,6,8,10,11,9,11
Sidny LOPES CABRAL,Cabo Verde,176,12,8,12,11,13,10,6,13,15,14,6,12,8,9,12,7
Deroy D'ENCARNAÇÃO DUARTE,Cabo Verde,177,11,10,14,9,12,12,10,10,13,12,9,12,10,10,10,12
Laros Michael D'ENCARNAÇÃO DUARTE,Cabo Verde,180,15,8,13,12,8,12,11,11,11,12,12,14,7,9,9,11
Jair SEMEDO MONTEIRO,Cabo Verde,171,12,8,10,8,8,12,7,10,13,12,6,11,11,13,12,13
Willy Johnson SEMEDO AFONSO,Cabo Verde,185,13,11,13,10,11,11,7,5,15,14,12,6,4,5,5,10
Telmo Emanuel GOMES ARCANJO,Cabo Verde,180,15,13,13,15,15,14,9,12,13,13,10,14,8,10,8,12
Dailon ROCHA LIVRAMENTO,Cabo Verde,185,12,11,12,9,10,12,13,11,13,13,14,11,5,10,5,10
Ryan Isaac DA GRACA MENDES,Cabo Verde,178,14,12,15,10,12,12,8,10,14,12,8,13,5,5,8,12
Nuno Miguel DA COSTA JOIA,Cabo Verde,184,14,13,13,11,8,12,13,14,11,12,13,14,8,6,8,13
Steven MOREIRA,Cabo Verde,176,11,10,13,8,12,13,9,12,14,13,9,13,13,12,12,12
Carlos Joaquim ANTUNES DOS SANTOS,Cabo Verde,193,8,1,2,3,3,12,8,13,11,10,13,12,1,2,10,12
Wagner Fabricio CARDOSO DE PINA,Cabo Verde,180,13,8,14,7,10,11,8,11,16,15,10,12,10,14,10,13
Kelvin SPENCER PIRES,Cabo Verde,193,11,7,9,8,8,12,13,11,11,12,14,10,12,13,11,12
Hélio Sandro OLIVEIRA ALVES VARELA,Cabo Verde,176,11,8,14,12,12,9,7,12,17,16,8,12,6,6,7,9
Dayne Tristan ST. CLAIR,Canada,191,8,3,3,3,1,15,2,13,11,11,14,9,2,1,13,13
Alistair William JOHNSTON,Canada,180,12,8,10,8,12,12,11,14,12,13,11,13,13,14,14,12
Ale Charles JONES,Canada,191,11,7,8,7,6,13,14,14,12,12,14,13,13,13,14,13
Luc ROLLET DE FOUGEROLLES,Canada,183,11,4,11,5,7,10,11,11,12,11,12,12,11,12,10,11
Joel Robert WATERMAN,Canada,185,12,8,10,6,7,14,14,13,10,13,13,13,13,13,13,12
Mathieu CHOINIÈRE,Canada,175,13,9,11,12,12,13,7,8,13,11,6,10,12,9,13,10
Stephen EUSTAQUIO,Canada,178,14,11,8,12,14,16,11,8,12,12,11,15,8,13,13,10
Ismaël Kenneth Jordan KONE,Canada,188,14,12,13,11,9,14,10,11,12,13,13,13,9,10,13,13
Cyle Christopher LARIN,Canada,188,12,14,12,10,7,11,15,14,12,13,15,14,8,8,6,14
Jonathan Christian DAVID,Canada,178,14,14,14,11,10,13,13,13,16,15,12,12,6,6,8,13
Liam Alan MILLAR,Canada,176,14,9,15,13,13,13,8,8,14,14,9,13,6,7,6,12
Tanitoluwa Oluwatimilehin OLUWASEYI,Canada,188,11,15,12,11,8,8,11,12,16,18,14,12,5,5,10,13
Derek Austin CORNELIUS,Canada,187,11,8,9,10,11,12,15,15,11,13,15,12,13,14,12,13
Jacob Everett SHAFFELBURG,Canada,178,11,12,14,8,13,11,7,8,17,17,9,7,9,8,10,10
Moïse Bombito LUMPUNGU,Canada,191,9,7,9,5,7,13,15,15,17,16,16,12,13,14,13,14
Maxime CRÉPEAU,Canada,181,8,3,3,2,2,11,3,14,10,10,11,10,2,1,12,11
Tajon Trevor BUCHANAN,Canada,183,13,13,14,11,13,13,11,9,15,15,10,12,10,12,12,12
Owen Olamidayo GOODMAN,Canada,193,12,1,1,1,3,13,7,11,8,8,16,9,2,1,12,11
Alphonso Boyle DAVIES,Canada,185,13,8,16,10,11,12,9,13,19,19,13,13,10,13,10,12
Ali AHMED,Canada,180,12,7,12,7,12,12,5,7,13,15,10,10,9,9,10,11
Jonathan OSORIO,Canada,175,13,12,14,12,11,13,7,10,12,12,7,14,12,11,10,12
Richmond Mamah LARYEA,Canada,175,11,12,12,10,13,13,8,12,15,16,9,13,11,11,11,11
Niko Kristian SIGUR,Canada,180,12,9,12,11,11,12,9,9,12,11,10,10,11,13,12,12
Promise Oluwatobi Emmanuel DAVID,Canada,195,11,15,10,11,8,11,14,14,12,12,13,12,11,8,13,12
Nathan-Dylan SALIBA,Canada,174,11,8,10,10,9,14,9,9,14,14,10,12,10,10,12,10
Jayden NELSON,Canada,170,12,9,14,11,12,10,7,7,16,15,6,9,7,7,7,8
David OSPINA RAMIREZ,Colombia,183,10,2,3,1,2,11,8,12,9,9,12,12,3,2,14,14
Daniel MUÑOZ MEJIA,Colombia,180,12,10,14,12,13,11,13,13,15,14,13,13,13,13,13,14
Jhon Janer LUCUMI BONILLA,Colombia,187,13,7,12,8,12,15,12,15,14,14,13,17,15,16,16,16
Santiago ARIAS NARANJO,Colombia,178,12,6,11,11,13,14,9,12,13,13,9,13,12,13,14,13
Kevin Duvan CASTAÑO GIL,Colombia,177,14,9,12,12,9,14,8,10,13,12,10,14,13,12,14,13
Richard RÍOS MONTOYA,Colombia,185,12,10,13,13,13,12,9,15,14,13,14,15,13,15,13,11
Luis Fernando DÍAZ MARULANDA,Colombia,180,17,13,17,13,12,14,13,9,16,16,12,15,8,8,8,14
Jorge Andres CARRASCAL GUARDO,Colombia,180,16,11,16,10,12,13,7,9,14,13,9,12,4,10,8,12
Jhon Andrés CÓRDOBA COPETE,Colombia,188,13,14,11,9,8,11,13,16,14,16,15,18,6,8,11,14
James David RODRÍGUEZ RUBIO,Colombia,181,18,14,15,17,16,17,12,11,8,8,10,14,6,7,8,16
Jhon Adolfo ARIAS ANDRADE,Colombia,170,16,13,15,11,14,15,8,11,13,13,8,13,6,9,9,13
Camilo Andres VARGAS GIL,Colombia,190,10,3,1,3,2,12,1,13,11,11,13,13,3,3,13,13
Yerry Fernando MINA GONZALEZ,Colombia,195,11,7,11,8,5,11,15,18,10,11,16,11,15,15,15,14
Gustavo Adolfo PUERTA MOLANO,Colombia,171,13,8,14,12,12,13,8,11,12,12,8,12,10,12,11,12
Juan Camilo PORTILLA OROZCO,Colombia,183,14,9,11,12,11,12,9,13,10,12,13,13,12,13,14,13
Jefferson Andrés LERMA SOLIS,Colombia,179,12,8,11,12,9,12,15,14,13,12,14,14,13,14,13,14
Johan Andrés MOJICA PALACIO,Colombia,185,13,9,14,10,13,13,10,13,16,16,10,14,12,12,12,12
